"PK","SK","company_name","data_type","disclosure","headquarter_country","industry","metric_description","metric_name","metric_period","metric_unit","metric_value","metric_year","nb_points_of_observations","pillar","provider_name","reported_date"
"COMP#4298015915","YEAR#2016#METRIC#CO2DIRECTSCOPE1","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Scope 1 emissions that occur within a company’s organizational boundary from sources that the company owns or controls in tons of CO2e.","CO2DIRECTSCOPE1","null","Tons CO2e","27","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#CO2INDIRECTSCOPE2","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","""Scope 2 emissions that result from the generation of purchased electricity, heating, cooling, and steam in tons of CO2e.""","CO2INDIRECTSCOPE2","null","Tons CO2e","3.59","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#ENERGYUSETOTAL","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","""Total energy consumed by a company within its operational control, including energy produced and purchased (e.g., electricity, steam, natural gas, coal, oil).""","ENERGYUSETOTAL","null","GJ","46.48","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#NOXEMISSIONS","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Total amount of NOx emissions emitted in tons.","NOXEMISSIONS","null","Tons of NOx","0.06","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#PARTICULATE_MATTER_EMISSIONS","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Amount of particulate matter (a complex mixture of small liquid droplets and solid particulates suspended in the air) emitted by the company.","PARTICULATE_MATTER_EMISSIONS","null","Tons","0","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#SOXEMISSIONS","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Total amount of SOx emissions emitted in tons.","SOXEMISSIONS","null","Tons of SOx","0","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#VOCEMISSIONS","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Amount of Volatile Organic Compounds (VOC) emitted by the company.","VOCEMISSIONS","null","Tons of VOC","0.06","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2016#METRIC#WATERWITHDRAWALTOTAL","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Total water withdrawal in cubic meters.","WATERWITHDRAWALTOTAL","null","Cubic meters","23.8","2016","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2017#METRIC#CO2DIRECTSCOPE1","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","Scope 1 emissions that occur within a company’s organizational boundary from sources that the company owns or controls in tons of CO2e.","CO2DIRECTSCOPE1","null","Tons CO2e","80.67","2017","88","E","Clarity AI","null"
"COMP#4298015915","YEAR#2017#METRIC#CO2INDIRECTSCOPE2","Trans Canada Gold Corp","float","ESTIMATED","Canada","Metals & Mining","""Scope 2 emissions that result from the generation of purchased electricity, heating, cooling, and steam in tons of CO2e.""","CO2INDIRECTSCOPE2","null","Tons CO2e","9.27","2017","88","E","Clarity AI","null"
