district_code,data_source,property_id,dealing_number,unit_number,street_number,street_name,suburb,postcode,purchase_price,legal_description,area,area_type,dimensions,interest_of_sale,zoning,nature_of_property,primary_purpose,contract_date,settlement_date,sale_counter,download_datetime,property_name,strata_lot_number,vendor_gst_flag,propid_unique,source_year,source_week
223,ARCHIVE,1897942800000,2525755.0,,365,WILLOWDENE AV,LUDDENHAM,2745.0,500000.0,LOT 23 DP 259698 SUBJECT TO DRAINAGE EASEMENT.10 WIDE,10.11,H,,RB,R,,,1990-01-01,1990-01-01,,,,,,,1990,annual
14,ARCHIVE,0501700000000,338511.0,,76,BUDGEWOI RD,NORAVILLE,2262.0,54000.0,LOT 110 DP 26104.,696.0,M,,,A,,,1990-01-01,1990-01-01,,,,,,,1990,annual
54,ARCHIVE,T054920,,,25,BARELLAN ST,ARDLETHAN,2665.0,15000.0,LOT 14 SEC 7 TOWN OF ARDLETHAN,1012.0,M,,,A,,,1990-01-01,1990-01-01,,,,,,,1990,annual
192,ARCHIVE,T0483710000000,,,2,RAILWAY ST,ASHLEY,2400.0,0.0,LOTS 1/17 SEC 29 PO 89/10,5.0,H,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
135,ARCHIVE,T602191,,,11,CUMBERLAND RD,AUBURN,2144.0,0.0,LOT B DP415476,358.0,M,18.29X19.86,,A,,,1990-01-01,1990-01-01,,,,,,,1990,annual
86,ARCHIVE,T605832,,,32,CURBAN ST,BALGOWLAH HEIGHTS,2093.0,0.0,LOT 3 DP758044 S23,716.0,M,16.28/14.66X44.58/51.92,,A,,,1990-01-01,1990-01-01,,,,,,,1990,annual
171,ARCHIVE,T0386600000000,,,19,DURIGAN PL,BANORA POINT,2486.0,0.0,LOT 61 DP 253699,0.0,M,18 X 35,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
171,ARCHIVE,T1283400000000,,,21,SUMMIT DR,BANORA POINT,2486.0,0.0,LOT 31 DP 236820,0.0,M,IRR39.42/0 X 34.01/36.65,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
81,ARCHIVE,T017490,,,56,PARK RD,BAULKHAM HILLS,2153.0,230000.0,LOT 2 DP239322,701.0,M,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
141,ARCHIVE,T027143,,,3,TAUNTON ST,BLAKEHURST,2221.0,200000.0,LOT 16 SEC 1 DP 7754,697.0,M,15.24X45.72,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
40,ARCHIVE,T614655,,,,PH BOYLE,BRAIDWOOD,2622.0,0.0,PH BOYLE POR 334 & PO 90/1 (BEING POR 336 & 337),99.0,H,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
137,ARCHIVE,T06672000000000,,4,51,SHAFTESBURY RD,BURWOOD,2134.0,0.0,LOT 4 SP 10933,0.0,M,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
4,ARCHIVE,0T13802000000,,,8,PRINCE ST,CARDIFF SOUTH,2285.0,0.0,LOT A DP 418621,411.0,M,,,A,,,1990-01-01,1990-01-01,,,,,,,1990,annual
81,ARCHIVE,T1499300000000,,,49,VICTORIA RD,CASTLE HILL,2154.0,0.0,LOT 5A DP369456,2.0,H,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
224,ARCHIVE,T630743,,,22,SALERNO CL,EMU HEIGHTS,2750.0,58500.0,LOT 3021 DP713606,626.0,M,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
224,ARCHIVE,1600753230000,,,LOT 302,SALERNO CL,EMU PLAINS,2750.0,58500.0,LOT 3021 DP 713606.,626.1,M,,BC,A,,,1990-01-01,1990-01-01,,,,,,,1990,annual
51,ARCHIVE,T0209300000000,,,,OLD ADCOCKS RD,FINLEY,2713.0,0.0,LOT 111 DP752296 EP 028370,97.0,H,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
219,ARCHIVE,T0000140000000,,,265,BELLS RD,GROSE VALE,2753.0,0.0,LOT 2 DP421491,2.0,H,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
192,ARCHIVE,T0522930000000,,,,BELLATA ST,GURLEY,2398.0,0.0,LOT 3 SEC 3,2023.0,M,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
162,ARCHIVE,T0440005100000,,,62,MINAMURRA DR,HARRINGTON,2427.0,0.0,LOT 39 DP715497,844.0,M,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
160,ARCHIVE,T641086,,,,PH HARWOOD,HARWOOD ISLAND,2465.0,0.0,P O 70/15,0.0,M,,,,,,1990-01-01,1990-01-01,,,,,,,1990,annual
